Nome do medicamento;Dosagem
Donepezilo Jaba;5 mg
Donepezilo Krka;10 mg
Donepezilo Krka;10 mg
Donepezilo Krka;5 mg
Donepezilo Krka;5 mg
Donepezilo KRKA;10 mg
Donepezilo KRKA;10 mg
Donepezilo KRKA;5 mg
Donepezilo KRKA;5 mg
Donepezilo Lixben;10 mg
Donepezilo Lixben;10 mg
Donepezilo Lixben;5 mg
Donepezilo Lixben;5 mg
Donepezilo Mylan;10 mg
Donepezilo Mylan;10 mg
Donepezilo Mylan;5 mg
Donepezilo Mylan;5 mg
Donepezilo Mylan;10 mg
Donepezilo Mylan;10 mg
Donepezilo Mylan;5 mg
Donepezilo Mylan;5 mg
Donepezilo Pharmakern;10 mg
Donepezilo Pharmakern;10 mg
Donepezilo Pharmakern;5 mg
Donepezilo Pharmakern;5 mg
Donepezilo Pharmakern;10 mg
Donepezilo Pharmakern;10 mg
Donepezilo Pharmakern;5 mg
Donepezilo Pharmakern;5 mg
Donepezilo Ratiopharm;10 mg
Donepezilo Ratiopharm;5 mg
Donepezilo Ratiopharm;5 mg
Donepezilo Ratiopharm;10 mg
Donepezilo Ratiopharm;5 mg
Donepezilo Ratiopharm;5 mg
Donepezilo Sandoz;10 mg
Donepezilo Sandoz;5 mg
Donepezilo Sandoz;5 mg
Donepezilo Teva;10 mg
Donepezilo Teva;5 mg
Donepezilo Teva;5 mg
Donepezilo toLife;10 mg
Donepezilo toLife;5 mg
Donepezilo toLife;5 mg
Donepezilo toLife;10 mg
Donepezilo toLife;5 mg
Donepezilo toLife;5 mg
Donepezilo Vitória;10 mg
Donepezilo Vitória;10 mg
Donepezilo Vitória;5 mg
Donepezilo Vitória;5 mg
Donepezilo Zentiva;10 mg
Donepezilo Zentiva;10 mg
Donepezilo Zentiva;5 mg
Donepezilo Zentiva;5 mg
Ebixa;5 mg/0.5 ml
Ebixa;(5 mg)+(10 mg)+(15 mg)+(20 mg)
Ebixa;10 mg
Ebixa;10 mg
Ebixa;20 mg
Exelon;2 mg/ml
Exelon;1.5 mg
Exelon;3 mg
Exelon;3 mg
Exelon;4.5 mg
Exelon;4.5 mg
Exelon;6 mg
Exelon;6 mg
Exelon;13.3 mg/24 h
Exelon;13.3 mg/24 h
Exelon;4.6 mg/24 h
Exelon;4.6 mg/24 h
Exelon;4.6 mg/24 h
Exelon;4.6 mg/24 h
Exelon;9.5 mg/24 h
Exelon;9.5 mg/24 h
Galantamina Aurovitas;16 mg
Galantamina Aurovitas;24 mg
Galantamina Aurovitas;8 mg
Galantamina Azevedos;12 mg
Galantamina Azevedos;4 mg
Galantamina Azevedos;4 mg
Galantamina Azevedos;8 mg
Galantamina Ciclum;16 mg
Galantamina Ciclum;24 mg
Galantamina Ciclum;8 mg
Galantamina Generis;16 mg
Galantamina Generis;24 mg
Galantamina Generis;8 mg
Galantamina Generis;12 mg
Galantamina Generis;4 mg
Galantamina Generis;4 mg
Galantamina Generis;8 mg
Galantamina Krka;16 mg
Galantamina Krka;24 mg
Galantamina Krka;8 mg
Galantamina Mylan;16 mg
Galantamina Mylan;24 mg
Galantamina Mylan;8 mg
Galantamina Sandoz;16 mg
Galantamina Sandoz;24 mg
Galantamina Sandoz;8 mg
Galantamina Teva;16 mg
Galantamina Teva;24 mg
Galantamina Teva;8 mg
Galantamina Teva;4 mg
Galantamina Teva;4 mg
Galantamina Teva;8 mg
Galantamina Zentiva;16 mg
Galantamina Zentiva;24 mg
Galantamina Zentiva;8 mg
Memantina Alter;10 mg
Memantina Alter;10 mg
Memantina Alter;20 mg
Memantina Aluzime;10 mg
Memantina Aluzime;10 mg
Memantina Aluzime;20 mg
Memantina Aristo;10 mg
Memantina Aristo;10 mg
Memantina Aristo;20 mg
Memantina Aurobindo;10 mg
Memantina Aurobindo;10 mg
Memantina Aurobindo;20 mg
Memantina Aurovitas;10 mg
Memantina Aurovitas;10 mg
Memantina Aurovitas;20 mg
Memantina Bluepharma;10 mg
Memantina Bluepharma;10 mg
Memantina Bluepharma;20 mg
Memantina Ciclum;10 mg/ml
Memantina Ciclum;10 mg
Memantina Ciclum;10 mg
Memantina Ciclum;20 mg
Memantina Farmoz;10 mg
Memantina Farmoz;10 mg
Memantina Farmoz;20 mg
Memantina Generis;10 mg
Memantina Generis;10 mg
Memantina Generis;20 mg
Memantina GP;10 mg
Memantina GP;10 mg
Memantina GP;20 mg
Memantina Jaba;10 mg
Memantina Jaba;10 mg
Memantina Jaba;20 mg
Memantina Krka;10 mg
Memantina Krka;10 mg
Memantina Krka;20 mg
Memantina LEK;10 mg
Memantina LEK;10 mg
Memantina LEK;20 mg
Memantina Mer;10 mg
Memantina Mer;10 mg
Memantina Mer;20 mg
Memantina Mylan;10 mg
Memantina Mylan;10 mg
Memantina Mylan;20 mg
Memantina Pentafarma;10 mg
Memantina Pentafarma;10 mg
Memantina Pentafarma;20 mg
Memantina Pharmakern;10 mg
Memantina Pharmakern;10 mg
Memantina Pharmakern;20 mg
Memantina ratiopharm;10 mg
Memantina ratiopharm;10 mg
Memantina ratiopharm;20 mg
Memantina TAD;10 mg
Memantina TAD;10 mg
Memantina TAD;20 mg
Memantina Tecnigen;10 mg
Memantina Tecnigen;10 mg
Memantina Tecnigen;20 mg
Memantina Teva;10 mg
Memantina Teva;10 mg
Memantina Teva;20 mg
Memantina toLife;10 mg
Memantina toLife;10 mg
Memantina toLife;20 mg
Memantina Vitória;10 mg
Memantina Vitória;10 mg
Memantina Vitória;20 mg
Memantina Zentiva;10 mg
Memantina Zentiva;10 mg
Memantina Zentiva;20 mg
Memantina Zidrium;10 mg
Memantina Zidrium;10 mg
Memantina Zidrium;20 mg
Nemdatine;10 mg
Nemdatine;10 mg
Nemdatine;20 mg
Prometax;1.5 mg
Prometax;3 mg
Prometax;3 mg
Prometax;4.5 mg
Prometax;4.5 mg
Prometax;6 mg
Prometax;6 mg
Prometax;13.3 mg/24 h
Prometax;4.6 mg/24 h
Prometax;4.6 mg/24 h
Prometax;9.5 mg/24 h
Reminyl;4 mg/ml
Reminyl;16 mg
Reminyl;24 mg
Reminyl;8 mg
Rivastigmina Aurobindo;1.5 mg
Rivastigmina Aurobindo;3 mg
Rivastigmina Aurobindo;3 mg
Rivastigmina Aurobindo;4.5 mg
Rivastigmina Aurobindo;4.5 mg
Rivastigmina Aurobindo;6 mg
Rivastigmina Aurobindo;6 mg
Rivastigmina Bluepharma;4.6 mg/24 h
Rivastigmina Bluepharma;4.6 mg/24 h
Rivastigmina Bluepharma;9.5 mg/24 h
Rivastigmina Ciclum;1.5 mg
Rivastigmina Ciclum;3 mg
Rivastigmina Ciclum;3 mg
Rivastigmina Ciclum;4.5 mg
Rivastigmina Ciclum;4.5 mg
Rivastigmina Ciclum;6 mg
Rivastigmina Ciclum;6 mg
Rivastigmina Generis;1.5 mg
Rivastigmina Generis;3 mg
Rivastigmina Generis;3 mg
Rivastigmina Generis;4.5 mg
Rivastigmina Generis;4.5 mg
Rivastigmina Generis;6 mg
Rivastigmina Generis;6 mg
Rivastigmina Generis;13.3 mg/24 h
Rivastigmina Generis;4.6 mg/24 h
Rivastigmina Generis;4.6 mg/24 h
Rivastigmina Generis;9.5 mg/24 h
Rivastigmina Generis Phar;1.5 mg
Rivastigmina Generis Phar;3 mg
Rivastigmina Generis Phar;3 mg
Rivastigmina Generis Phar;4.5 mg
Rivastigmina Generis Phar;4.5 mg
Rivastigmina Generis Phar;6 mg
Rivastigmina Generis Phar;6 mg
Rivastigmina Labesfal;1.5 mg
Rivastigmina Labesfal;3 mg
Rivastigmina Labesfal;3 mg
Rivastigmina Labesfal;4.5 mg
Rivastigmina Labesfal;4.5 mg
Rivastigmina Labesfal;6 mg
Rivastigmina Labesfal;6 mg
Rivastigmina Mylan;1.5 mg
Rivastigmina Mylan;3 mg
Rivastigmina Mylan;3 mg
Rivastigmina Mylan;4.5 mg
Rivastigmina Mylan;4.5 mg
Rivastigmina Mylan;6 mg
Rivastigmina Mylan;6 mg
Rivastigmina Mylan;4.6 mg/24 h
Rivastigmina Mylan;4.6 mg/24 h
Rivastigmina Mylan;9.5 mg/24 h
Rivastigmina Pentafarma;4.6 mg/24 h
Rivastigmina Pentafarma;4.6 mg/24 h
Rivastigmina Pentafarma;9.5 mg/24 h
Rivastigmina Sandoz;1.5 mg
Rivastigmina Sandoz;3 mg
Rivastigmina Sandoz;3 mg
Rivastigmina Sandoz;4.5 mg
Rivastigmina Sandoz;4.5 mg
Rivastigmina Sandoz;6 mg
Rivastigmina Sandoz;6 mg
Rivastigmina Teva;4.6 mg/24 h
Rivastigmina Teva;4.6 mg/24 h
Rivastigmina Teva;9.5 mg/24 h
Rivastigmina Teva;13.3 mg/24 h
Rivastigmina toLife;1.5 mg
Rivastigmina toLife;3 mg
Rivastigmina toLife;3 mg
Rivastigmina toLife;4.5 mg
Rivastigmina toLife;4.5 mg
Rivastigmina toLife;6 mg
Rivastigmina toLife;6 mg
Rivastigmina Zentiva;4.6 mg/24 h
Rivastigmina Zentiva;4.6 mg/24 h
Rivastigmina Zentiva;9.5 mg/24 h
Abasaglar;100 U/ml
Acarbose Friulchem;100 mg
Acarbose Friulchem;50 mg
Acarbose Friulchem;50 mg
Ácido Valpróico Generis;300 mg
Actrapid Penfill;100 U.I./ml
Apidra;100 U/ml
Apidra;100 U/ml
Apidra;100 U/ml
Aripiprazol Aurovitas;1 mg/ml
Aripiprazol Aurovitas;5 mg
Aripiprazol Aurovitas;5 mg
Aripiprazol Ciclum;1 mg/ml
Aripiprazol Mylan Pharma;1 mg/ml
Aripiprazol Zentiva;10 mg
Aripiprazol Zentiva;5 mg
Aripiprazol Zentiva;5 mg
Azafalk;100 mg
Azafalk;50 mg
Azafalk;50 mg
Azafalk;75 mg
Ciclosporina Generis;100 mg/ml
Ciclosporina Generis;100 mg
Ciclosporina Generis;25 mg
Ciclosporina Generis;25 mg
Ciclosporina Generis;50 mg
Ciclosporina Generis;50 mg
Ciclosporina Teva;100 mg/ml
Ciclosporina Teva;100 mg
Ciclosporina Teva;25 mg
Ciclosporina Teva;25 mg
Ciclosporina Teva;50 mg
Ciclosporina Teva;50 mg
Ciprofloxacina Basi;250 mg
Ciprofloxacina Basi;500 mg
Ciprofloxacina Basi;750 mg
Clozapina Aurovitas;100 mg
Clozapina Aurovitas;25 mg
Clozapina Mylan;100 mg
Clozapina ratiopharm;100 mg
Ddavp Desmopressin;0.1 mg/ml
Desmopressina Teva;0.1 mg
Desmopressina Teva;0.1 mg
Desmopressina Teva;0.2 mg
Desmopressina Teva;0.2 mg
Enalapril + Lercanidipina Mylan;10 mg + 10 mg
Enalapril + Lercanidipina Ratiopharm;10 mg + 10 mg
Enalapril + Lercanidipina Teva;10 mg + 10 mg
Enicil Duo;0.05 mg/ml + 5 mg/ml
Enicilfree;0.05 mg/ml
Fiasp;100 U/ml
Fiasp;100 U/ml
Fiasp;100 U/ml
Gabapentina Aurobindo;800 mg
Gabapentina Farmoz;800 mg
Gabapentina Germed;100 mg
Gabapentina Germed;100 mg
Gabapentina Teva;800 mg
Gliclazida Cinfa;30 mg
Gliclazida Zentiva;30 mg
Gliclazida Zentiva;30 mg
Humalog;100 U/ml
Humalog;100 U/ml
Humalog Junior KwikPen;100 U/ml
Humalog KwikPen;100 U/ml
Humalog KwikPen;200 U/ml
Humalog Mix25;100 U/ml (25% + 75%)
Humalog Mix25 KwikPen;100 U/ml (25% + 75%)
Humalog Mix50;100 U/ml (50% + 50%)
Humalog Mix50 KwikPen;100 U/ml (50% + 50%)
Humulin M3;100 U.I./ml (30% + 70%)
Humulin Nph;100 U.I./ml
Humulin Regular;100 U.I./ml
Imuran;25 mg
Imuran;50 mg
Insulatard Penfill;100 U.I./ml
Insuman Basal;100 U.I./ml
Insuman Basal;100 U.I./ml
Insuman Comb 25;100 U.I./ml (25% + 75%)
Insuman Comb 25;100 U.I./ml (25% + 75%)
Insuman Rapid;100 U.I./ml
Insuman Rapid;100 U.I./ml
IntronA 18 milhões UI Solução Injectável;18 M.U.I./3 ml
IntronA 18 milhões UI Solução Injectável numa Caneta Multidose;15 M.U.I./ml
IntronA 30 milhões UI Solução Injectável numa Caneta Multidose;25 M.U.I./ml
IntronA 60 milhões UI Solução Injectável numa Caneta Multidose;50 M.U.I./ml
Lamotrigina Aurobindo;25 mg
Lamotrigina Aurobindo;50 mg
Lamotrigina Azevedos;25 mg
Lamotrigina Azevedos;50 mg
Lamotrigina Basi;25 mg
Lamotrigina Basi;50 mg
Lamotrigina Generis;25 mg
Lamotrigina Generis;25 mg
Lamotrigina Generis;50 mg
Lamotrigina Mylan;25 mg
Lamotrigina Mylan;50 mg
Lamotrigina Teva 25 mg Comprimidos;25 mg
Lamotrigina Teva 50 mg Comprimidos;50 mg
Lamotrigina toLife;25 mg
Lamotrigina toLife;50 mg
Lamotrigina Wynn;25 mg
Lamotrigina Wynn;25 mg
Lantus;100 U/ml
Lantus;100 U/ml
Lantus;100 U/ml
Levemir;100 U/ml
Levetiracetam Amperlem;1000 mg
Levetiracetam Amperlem;500 mg
Levetiracetam Tecnigen;1000 mg
Levetiracetam Tecnigen;250 mg
Levetiracetam Tecnigen;250 mg
Levetiracetam Tecnigen;500 mg
Levetiracetam Teva;1000 mg
Levetiracetam Teva;500 mg
Levodopa + Carbidopa + Entacapona Ciclum;200 mg + 50 mg + 200 mg
Levodopa + Carbidopa + Entacapona Ciclum;50 mg + 12.5 mg + 200 mg
Lisinopril Basi;5 mg
Lisinopril Jaba 5 mg Comprimidos;5 mg
Losartan Wynn;100 mg
Lyumjev;100 U/ml
Lyumjev;100 U/ml
Lyumjev Junior KwikPen;100 U/ml
Lyumjev KwikPen;100 U/ml
Lyumjev KwikPen;200 U/ml
Metformina Azevedos;1000 mg
Metformina Basi;1000 mg
Metformina Basi;850 mg
Minirin;0.06 mg
Minirin;0.06 mg
Minirin;0.12 mg
Mixtard 30 Penfill;100 U.I./ml (30% + 70%)
Nictur;0.36 mg/ml
Nivoflox;250 mg
NovoMix 30 FlexPen;100 U/ml (30% + 70%)
NovoMix 30 Penfill;100 U/ml (30% + 70%)
NovoRapid Penfill;100 U/ml
NovoRapid PumpCart;100 U/ml
Olanzapina Alter;15 mg
Olanzapina Alter;20 mg
Olanzapina Aurovitas;15 mg
Olanzapina Generis;15 mg
Olanzapina Generis;20 mg
Olanzapina Generis;15 mg
Olanzapina Generis;7.5 mg
Olanzapina Krka;15 mg
Olanzapina Krka;7.5 mg
Olanzapina Teva;15 mg
Olanzapina Teva;7.5 mg
Paliperidona Pentafarma;3 mg
Pioglitazona Aurovitas;15 mg
Pioglitazona Aurovitas;15 mg
Pioglitazona Aurovitas;30 mg
Pioglitazona Aurovitas;45 mg
Pregabalina Aristo;100 mg
Pregabalina Aristo;200 mg
Pregabalina Aristo;225 mg
Pregabalina Aristo;25 mg
Pregabalina Aristo;25 mg
Pregabalina Aristo;75 mg
Pregabalina Aristo;75 mg
Pregabalina Aurovitas;25 mg
Pregabalina Azevedos;225 mg
Pregabalina Azevedos;25 mg
Pregabalina Ciclum;25 mg
Pregabalina Mylan;25 mg
Pregabalina Tecnigen;25 mg
Pregabalina Tecnigen;75 mg
Pregabalina Zentiva;25 mg
Quetiapina Alter SR;50 mg
Quetiapina Aristo;100 mg
Quetiapina Aristo;300 mg
Quetiapina Bluepharma LP;150 mg
Quetiapina Bluepharma LP;200 mg
Quetiapina Bluepharma LP;300 mg
Quetiapina Bluepharma LP;300 mg
Quetiapina Bluepharma LP;400 mg
Quetiapina Bluepharma LP;50 mg
Quetiapina Bluepharma LP;50 mg
Quetiapina Fair-Med;100 mg
Quetiapina Rocoz SR;50 mg
Rasagilina Bluepharma;1 mg
Risperidona Basi;3 mg
Risperidona Genedec 1 mg Comprimidos;1 mg
Risperidona Mylan;1 mg
Ropinirol Labesfal LP;2 mg
Ropinirol Labesfal LP;4 mg
Ropinirol Labesfal LP;8 mg
Ropinirol Mylan;2 mg
Ropinirol Mylan;4 mg
Ropinirol Mylan;4 mg
Ropinirol Mylan;8 mg
Ropinirol Mylan;8 mg
Sandimmun;50 mg/ml
Semglee;100 U/ml
Strymix;300 mg
Strymix;75 mg
Ticlopidina Betlife 250 mg Comprimidos;250 mg
Timolol + Dorzolamida Germed;5 mg/ml + 20 mg/ml
Topiramato Ciclum;25 mg
Topiramato ratiopharm;25 mg
Topiramato Wynn;25 mg
Toujeo;300 U/ml
Tresiba;100 U/ml
Valaciclovir Aurovitas;500 mg
Ziprasidona Aurobindo;20 mg
Ziprasidona Aurobindo;20 mg
Ziprasidona Aurobindo;40 mg
Ziprasidona Aurobindo;60 mg
Ziprasidona Aurobindo;80 mg
Ziprasidona Ciclum;80 mg
Zonisamida Tolife;100 mg
Lamotrigina Aurobindo;25 mg
Metformina Basi;500 mg
Gabapentina Aurobindo;100 mg
Propranolol Accord;10 mg
Zonisamida ratiopharm;25 mg
Acarbose Establix;100 mg
Metformina Basi;500 mg
Carvedilol GP;25 mg
Gliclazida Mylan;60 mg
Quetiapina Rocoz SR;50 mg
Atenolol Azevedos;50 mg
Levetiracetam Aurovitas;250 mg
Metformina Bluefish;850 mg
Olanzapina Basi;5 mg
Glimepirida Tolife;1 mg
Metformina Azevedos;850 mg
Pregabalina Tecnigen;75 mg
Strymix;150 mg
Carbamazepina Labesfal 200 mg Comprimidos;200 mg
Carbamazepina Wynn;200 mg
Pregabalina Aristo;150 mg
Metformina Pensa;500 mg
Metformina Pensa;850 mg
Olanzapina Zentiva;15 mg
Gliclazida Labesfal LP;30 mg
Metformina Aurovitas;850 mg
Metformina Pensa;500 mg
Montelucaste Ratiopharm;4 mg
Olanzapina Alter;2.5 mg
Quetiapina Fair-Med;25 mg
Risperidona Basi;1 mg
Risperidona Basi;2 mg
Ropinirol Ratiopharm;0.25 mg
Zonisamida Pentafarma;25 mg
Zonisamida ratiopharm;50 mg
Aripiprazol Aurovitas;10 mg
Clozapina Mylan;25 mg
Strymix;50 mg
Aripiprazol Aurovitas;15 mg
Metformina Mylan;500 mg
Pioglitazona Accord;15 mg
Pregabalina  Vitória;25 mg
Pregabalina Tecnigen;25 mg
Risperidona Mylan;0.5 mg
Amlodipina + Valsartan Aurovitas;5 mg + 80 mg
Carbamazepina Wynn;200 mg
Carvedilol Jaba 6,25 mg Comprimidos;6.25 mg
Fluconazol Basi;150 mg
Quetiapina Alter SR;50 mg
Carbamazepina Wynn;400 mg
Clozapina ratiopharm;25 mg
Largactil;25 mg
Metformina Azevedos;500 mg
Olanzapina Generis;5 mg
Pregabalina Aristo;50 mg
Haldol;1 mg
Latanoprost Aristo;0.05 mg/ml
Metformina Mylan;500 mg
Quetamed;25 mg
Quetiapina Aristo;200 mg
Quetiapina Aristo;25 mg
Quetiapina Bluepharma;25 mg
Risperidona Mylan;0.5 mg
Ropinirol Generis Phar;0.25 mg
Acarbose Establix;50 mg
Amlodipina Mepha;5 mg
Gabapentina Aurobindo;100 mg
Glimepirida Generis;1 mg
Luminaletas;15 mg
Metformina Aurovitas;850 mg
Metformina Bluefish;850 mg
Metformina Mylan;850 mg
Metformina Zentiva;1000 mg
Rivotril;0.5 mg
Artane;2 mg
Glibenclamida Generis 2,5 mg Comprimidos;2.5 mg
Irbesartan + Hidroclorotiazida Azevedos;150 mg + 12.5 mg
Ropinirol Ratiopharm;0.5 mg
Topiramato Genedec;50 mg
Glimepirida Diapiride;2 mg
Hidantina;100 mg
Lamictal;50 mg
Pregabalina Azevedos;75 mg
Pregabalina Bluepharma;25 mg
Ropinirol Mylan;0.25 mg
Zonisamida Pentafarma;50 mg
Bialminal;100 mg
Lamictal;25 mg
Largactil IM;25 mg/5 ml
Largactil IV;50 mg/2 ml
Levetiracetam Bluefish;250 mg
Metformina Pharmakern;1000 mg
Risperidona Aurobindo;1 mg
Ropinirol Genedec;0.25 mg
Ropinirol Teva;0.25 mg
Akineton;2 mg
Carbamazepina Alter 200 mg Comprimidos;200 mg
Nozinan;25 mg/1 ml
Olanzapina Azevedos;2.5 mg
Quetiapina Accord;25 mg
Risperidona Pentafarma;1 mg
Carbamazepina Generis 200 mg Comprimidos;200 mg
Carbamazepina Labesfal 200 mg Comprimidos;200 mg
Carbamazepina Mylan;200 mg
Gliclazida Generis;80 mg
Metformina Azevedos;500 mg
Quetiapina toLife SR;50 mg
Acarbose DNA Pharma;50 mg
Fluconazol Aurovitas;150 mg
Irbesartan Aurovitas;75 mg
Largactil;40 mg/ml
Nozinan 25;25 mg
Risperidona Aurobindo;1 mg
Valsartan + Hidroclorotiazida Ciclum;80 mg + 12.5 mg
Amlodipina Krka;5 mg
Bromocriptina Generis 2,5 mg Comprimidos;2.5 mg
Clozapina Aurovitas;25 mg
Gliclazida Azevedos;80 mg
Olanzapina Alter;10 mg
Olanzapina Nolian;10 mg
Olanzapina Teva;10 mg
Olanzapina toLife;10 mg
Quetiapina Rocoz SR;200 mg
Topiramato Ciclum;50 mg
Lamictal;5 mg
Largactil;25 mg
Metformina ToLife;500 mg
Perindopril + Indapamida Vitória;2 mg + 0.625 mg
Pregabalina Teva;25 mg
Topiramato Genedec;25 mg
Gabapentina Germed;300 mg
Glimepirida Glimial;2 mg
Pioglitazona Accord;30 mg
Candesartan + Hidroclorotiazida Teva;16 mg + 12.5 mg
Glucovance;2.5 mg + 500 mg
Haldol;1 mg
Metformina Aurobindo;1000 mg
Metformina Pensa;1000 mg
Amoxicilina + Ácido clavulânico Bluepharma;125 mg/5 ml + 31.25 mg/5 ml
Artane;5 mg
Carbamazepina Labesfal 400 mg Comprimidos;400 mg
Depakine Chronosphere;100 mg
Gliclazida ratiopharm;60 mg
Pregabalina Azevedos;25 mg
Quetiapina Farmoz;25 mg
Tiapridal;100 mg/2 ml
Gliclazida Bluepharma 80 mg Comprimidos;80 mg
Gliclazida Sandoz;30 mg
Indapamida Teva;1.5 mg
Levetiracetam Tecnigen;100 mg/ml
Metformina Sandoz 850 mg Comprimidos revestidos;850 mg
Minidiab;5 mg
Quetiapina Bluepharma LP;200 mg
Quetiapina Rocoz SR;300 mg
Ropinirol Mylan;0.5 mg
Tiaprida Generis;100 mg
Valsartan + Hidroclorotiazida Ciclum;160 mg + 12.5 mg
Glibenclamida Generis 2,5 mg Comprimidos;2.5 mg
Gliclazida Teva;30 mg
Haldol;2 mg/ml
Lercanidipina Jaba;10 mg
Quetiapina SR Zentiva;50 mg
Ramipril Aurobindo;1.25 mg
Rivotril;2.5 mg/ml
Stagid;700 mg
Amlodipina + Valsartan Ciclum;5 mg + 80 mg
Atenolol Generis 50 mg Comprimidos Revestidos;50 mg
Candesartan Aurobindo;8 mg
Gliclazida GP 80 mg Comprimidos;80 mg
Gliclazida Labesfal 80 mg Comprimidos;80 mg
Lercanidipina GP;10 mg
Levetiracetam Alter;250 mg
Levetiracetam Aurovitas;250 mg
Levetiracetam Teva;250 mg
Lisinopril Jaba 5 mg Comprimidos;5 mg
Metformina Aurobindo;500 mg
Mysoline;250 mg
Pregabalina ratiopharm;25 mg
Ramipril + Hidroclorotiazida Krka;2.5 mg + 12.5 mg
Ramipril Jaba;2.5 mg
Rivotril;0.5 mg
Ropinirol Genedec;0.5 mg
Ropinirol Generis Phar;0.5 mg
Ropinirol Teva;0.5 mg
Bialminal Forte;200 mg
Glimepirida Ciclum 2 mg Comprimidos;2 mg
Olanzapina Generis;10 mg
Proaxen;300 mg
Tegretol;20 mg/ml
Zigabal;300 mg
Ácido Valpróico Ratiopharm 300 mg Comprimidos de libertação prolongada;300 mg
Akineton;2 mg
Artane;2 mg
Dogmatil;50 mg
Glimepirida Aurovitas;1 mg
Glimepirida Diapiride;2 mg
Hidantina;100 mg
Lamictal;2 mg
Levodopa + Carbidopa + Entacapona Ciclum;150 mg + 37.5 mg + 200 mg
Metformina Generis;500 mg
Pramipexol Aurobindo;0.088 mg
Topiramato Ciclum;25 mg
Akineton Retard;4 mg
Bialminal;100 mg
Glimepirida Glimial;2 mg
Indapamida Aurovitas;1.5 mg
Indapamida Labesfal;1.5 mg
Indapamida Teva;1.5 mg
Irbesartan + Hidroclorotiazida Basi;150 mg + 12.5 mg
Lamotrigina Azevedos;100 mg
Levodopa + Carbidopa Fair-Med;100 mg + 25 mg
Quetiapina Alter;25 mg
Quetiapina Aurobindo;25 mg
Quetiapina ratiopharm;25 mg
Quetiapina Rocoz;25 mg
Risperidona Ratiopharm;0.5 mg
Selegilina Generis 5 mg Comprimidos;5 mg
Zonisamida ratiopharm;100 mg
Ácido valpróico Generis;200 mg/ml
Bisoprolol Jaba 5 mg Comprimidos revestidos;5 mg
Bunil;25 mg
Ciprofloxacina Sandoz;500 mg
Entix;40 mg
Gabapentina Pharmakern;400 mg
Indapamida Cinfa;1.5 mg
Mestinon;60 mg
Risperidona Genedec 1 mg Comprimidos;1 mg
Risperidona Krka;1 mg
Ácido Valpróico Generis;300 mg
Glimepirida Aurovitas;1 mg
Glimepirida Generis;1 mg
Glimepirida Tolife;1 mg
Metformina Bluefish;1000 mg
Metformina Ciclum;500 mg
Metformina Mylan;1000 mg
Olmesartan medoxomilo Atolme;10 mg
Akineton;5 mg/1 ml
Alopurinol Ciclum 300 mg Comprimidos;300 mg
Brimonidina Bluepharma;2 mg/ml
Candesartan Basi;8 mg
Carbamazepina Alter 200 mg Comprimidos;200 mg
Carbamazepina Generis 200 mg Comprimidos;200 mg
Clozapina Generis;25 mg
Glibenclamida Generis 5 mg Comprimidos;5 mg
Gliclazida Labesfal LP;30 mg
Irbesartan + Hidroclorotiazida Azevedos;150 mg + 12.5 mg
Irbesartan + Hidroclorotiazida Basi;150 mg + 12.5 mg
Lamotrigina Azevedos;50 mg
Pregabalina Azevedos;100 mg
Pregabalina Gática;25 mg
Risperidona Alter;1 mg
